Date,Active_Cases,Close
06-07-2021,464357,15818.25
07-07-2021,459920,15879.65
08-07-2021,460704,15727.9
09-07-2021,458727,15689.8
12-07-2021,450899,15692.6
13-07-2021,432778,15812.35
14-07-2021,429946,15853.95
15-07-2021,432041,15924.2
16-07-2021,430422,15923.4
19-07-2021,421665,15752.4
20-07-2021,406130,15632.1
22-07-2021,409394,15824.05
23-07-2021,405513,15856.05
26-07-2021,411189,15824.45
27-07-2021,398100,15746.45
28-07-2021,399436,15709.4
29-07-2021,403840,15778.45
30-07-2021,405155,15763.05
02-08-2021,413718,15885.15
03-08-2021,404958,16130.75
04-08-2021,410353,16258.8
05-08-2021,411076,16294.6
06-08-2021,414159,16238.2
09-08-2021,402188,16258.25
10-08-2021,388508,16280.1
11-08-2021,386351,16282.25
